,title,qualities,offer,offer_price,actual_price,image_link,link
24,"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, B...","Black Strap, Regular",80% off,₹999,"₹4,999",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/y/9/l/-original-imagxp8u2fgthyxy.jpeg?q=70,https://www.flipkart.com/noise-icon-buzz-1-69-display-bluetooth-calling-built-in-games-voice-assistant-smartwatch/p/itm6589ead8faf38?pid=SMWGAU62XCAESACH&lid=LSTSMWGAU62XCAESACHWSCPNH&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_25&otracker=browse&fm=organic&iid=25057041-36fa-45c7-8ddc-21cb19fc9e29.SMWGAU62XCAESACH.SEARCH&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
25,Noise Colorfit Icon 2 1.8'' Display with Bluetooth Call...,"Blue Strap, Regular",81% off,"₹1,099","₹5,999",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/e/w/m/-original-imagxp8utmyyysut.jpeg?q=70,https://www.flipkart.com/noise-colorfit-icon-2-1-8-display-bluetooth-calling-ai-voice-assistant-smartwatch/p/itm8229e27c1df28?pid=SMWGEH7VV8B3H8Y6&lid=LSTSMWGEH7VV8B3H8Y6ZUQIYO&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_26&otracker=browse&fm=organic&iid=25057041-36fa-45c7-8ddc-21cb19fc9e29.SMWGEH7VV8B3H8Y6.SEARCH&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
26,GENTLEMOB Android/iPhone smartwatch 1.43HD BT Caling 4G...,"NA Strap, Free",62% off,"₹1,890","₹4,999",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/f/f/p/40-g9g-android-ios-gentlemob-yes-original-imagvbydfdvyqux8.jpeg?q=70,https://www.flipkart.com/gentlemob-android-iphone-smartwatch-1-43hd-bt-caling-4g-network-x9-pro-ultra-s8/p/itmf20d323725c46?pid=SMWGVBYDVYXQX5VR&lid=LSTSMWGVBYDVYXQX5VRFABO3H&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_27&otracker=browse&fm=organic&iid=en_Z04m260csuDABcIJxLALff4ptHVM11HCpfXDlcErY1VJJYQbQMAtpcXmSVLWcvN0SlJVPEMfH7FlfhEE3opv8w%3D%3D&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
27,GENTLEMOB Android/iPhone smartwatch 1.96HD BT Caling 4G...,"NA Strap, Free",62% off,"₹1,890","₹4,999",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/f/z/4/39-g921-android-ios-gentlemob-yes-original-imagvcb3gztg5kax.jpeg?q=70,https://www.flipkart.com/gentlemob-android-iphone-smartwatch-1-96hd-bt-caling-4g-network-x9-max-ultra-g9/p/itm9704910ac12f1?pid=SMWGVCB33QZW9HJE&lid=LSTSMWGVCB33QZW9HJEHIW1ZD&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_28&otracker=browse&fm=organic&iid=en_Z04m260csuDABcIJxLALff4ptHVM11HCpfXDlcErY1W55PBA-1vsjprM9m7etTTT9DIAnvzkXRkvKSnOPgp0Qg%3D%3D&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
28,"Noise Crew 1.38"" Display with Bluetooth Calling, Women'...","Pink Strap, Regular",76% off,"₹1,199","₹4,999",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/p/t/t/-original-imagxp8ughcg9yhn.jpeg?q=70,https://www.flipkart.com/noise-crew-1-38-display-bluetooth-calling-women-s-edition-metallic-finish-smartwatch/p/itm54e4335189bca?pid=SMWGKXECNWDK7KKS&lid=LSTSMWGKXECNWDK7KKSEMXMJM&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_29&otracker=browse&fm=organic&iid=25057041-36fa-45c7-8ddc-21cb19fc9e29.SMWGKXECNWDK7KKS.SEARCH&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
29,Noise Icon 2 Elite Edition 1.8'' Display with Metallic ...,"Elite Black Strap, Regular",78% off,"₹1,499","₹6,999",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/z/z/8/-original-imagtps8ryqqhaja.jpeg?q=70,https://www.flipkart.com/noise-icon-2-elite-1-8-display-metallic-body-bluetooth-calling-smartwatch/p/itmf1adf995f7288?pid=SMWGRZPKJEWYEWGU&lid=LSTSMWGRZPKJEWYEWGUJSRNHH&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_30&otracker=browse&fm=organic&iid=25057041-36fa-45c7-8ddc-21cb19fc9e29.SMWGRZPKJEWYEWGU.SEARCH&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
30,GENTLEMOB Smartwatch New Model Gen 1.39HD Bluetooth cal...,"Gold Strap, Free",52% off,"₹1,890","₹3,999",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/k/t/x/40-g9g8-android-ios-gentlemob-yes-original-imagvguj84vavtbk.jpeg?q=70,https://www.flipkart.com/gentlemob-smartwatch-new-model-gen-1-39hd-bluetooth-calling-x-pro-android-ios/p/itm9c13023be95c9?pid=SMWGVGUJYTY4JVHU&lid=LSTSMWGVGUJYTY4JVHUO3PSQ6&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_31&otracker=browse&fm=organic&iid=en_Z04m260csuDABcIJxLALff4ptHVM11HCpfXDlcErY1WdO9WUVe9TQHUMmlomYxWhJqaEAvQpTacCMWdpyh5YAw%3D%3D&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
31,"Fire-Boltt Epic Plus with1.83"" 2.5D Curved Glass,SPO2, ...","Black Strap, Free Size",88% off,"₹1,199","₹9,999",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/w/a/s/-original-imagxp8tahhvghys.jpeg?q=70,https://www.flipkart.com/fire-boltt-epic-plus-with1-83-2-5d-curved-glass-spo2-heart-rate-tracking-touchscreen-smartwatch/p/itm681ecd1fc9d01?pid=SMWGGZ746XUPRH3N&lid=LSTSMWGGZ746XUPRH3NIYLII4&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_32&otracker=browse&fm=organic&iid=en_Z04m260csuDABcIJxLALff4ptHVM11HCpfXDlcErY1XBnK5y4v4IiQ7XppTLZA_oD1TnPDKWgo5k-vUK4765guo15S0a61Wzzbg3qNOknKY%3D&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
32,Fastrack Revoltt FS1|1.83 Display|BT Calling|Fastcharge...,"Blue Strap, Free Size",72% off,"₹1,099","₹3,995",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/b/w/x/-original-imagxp8ucyysnvr8.jpeg?q=70,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itmc37b506d7ae4e?pid=SMWGN4YE3YRF2QH9&lid=LSTSMWGN4YE3YRF2QH9J09ZDA&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_33&otracker=browse&fm=organic&iid=25057041-36fa-45c7-8ddc-21cb19fc9e29.SMWGN4YE3YRF2QH9.SEARCH&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
33,"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchface...","Sand Black Strap, Free Size",86% off,"₹1,099","₹7,999",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/d/v/o/-original-imagysbhces2vkrk.jpeg?q=70,https://www.flipkart.com/boult-drift-bt-calling-1-69-hd-display-140-watchfaces-complete-health-monitoring-smartwatch/p/itmc86093ba5f54b?pid=SMWGMH4RUBYE7SHF&lid=LSTSMWGMH4RUBYE7SHFJEOYVO&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_34&otracker=browse&fm=organic&iid=25057041-36fa-45c7-8ddc-21cb19fc9e29.SMWGMH4RUBYE7SHF.SEARCH&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
